,"""enh_impression_list""","""enh_impression_name""","""enh_impression_position""","""search_sortby""","""object_area""","""object_city""","""object_currency""","""object_display_state""","""object_district""","""object_features""","""object_federalstate""","""object_gok""","""object_is_special""","""object_label""","""object_marketingtype""","""object_objekt_nutzungsart""","""object_objekt_zustand""","""object_objektart""","""object_objektart_sub""","""object_price""","""object_rooms""","""object_listingtype"""
496,Liste,kontakt,4.0,3074107.0,28.0,München,EUR,sel_item,Thalk.Obersendl.-Forsten-Fürstenr.-Solln,,Bayern,952325f1-994c-4444-b6d3-d592ef2ea167,,old,Miete,WOHNEN,sonstiges,,MAISONETTE,2550.0,1.0,standard
497,Liste,kontakt,5.0,316913.0,83.0,München,EUR,sel_item,Bogenhausen,Balkon,Bayern,ce888eef-0c91-41cd-a569-1c56f53bb68d,,new,Miete,WOHNEN,sonstiges,,Wohnung,2560.0,3.0,standard
498,Liste,kontakt,6.0,1729298.0,100.0,München,EUR,sel_item,Pasing-Obermenzing,Garten|EBK,Bayern,57e508f9-9d78-4dc1-b332-a9f9df7a67e9,,old,Miete,WOHNEN,sonstiges,,ERDGESCHOSS,2580.0,3.0,standard
499,Liste,kontakt,7.0,8022.0,114.45,München,EUR,sel_item,Ramersdorf-Perlach,Balkon|EBK,Bayern,eae5ab25-40a8-4ca9-b84a-3eb91c55c8f5,,old,Miete,WOHNEN,sonstiges,,Wohnung,2600.0,4.0,standard
500,Liste,kontakt,8.0,191936.0,128.0,München,EUR,sel_item,Aubing-Lochhausen-Langwied,EBK,Bayern,a5743443-5255-4a6d-826e-61cbaffb1178,,old,Miete,WOHNEN,sonstiges,,DACHGESCHOSS,2600.0,3.5,standard
501,Liste,kontakt,9.0,2051830.0,87.0,München,EUR,sel_item,Moosach,Balkon|EBK,Bayern,08fc33e6-22ed-475b-8c91-08184dea1b81,,old,Miete,WOHNEN,sonstiges,,ETAGE,2600.0,3.0,standard
502,Liste,kontakt,10.0,324102.0,82.0,München,EUR,sel_item,Au-Haidhausen,Balkon|EBK,Bayern,26e494b9-31f6-4903-be84-c6daad14c73d,,old,Miete,WOHNEN,sonstiges,,ETAGE,2600.0,2.0,standard
503,Liste,kontakt,11.0,8022.0,103.0,München,EUR,sel_item,Schwabing-Freimann,EBK,Bayern,cd5ba89e-f3cd-4e67-b775-9e055211f3b3,,old,Miete,WOHNEN,sonstiges,,ERDGESCHOSS,2639.0,3.0,standard
504,Liste,kontakt,12.0,316913.0,103.0,München,EUR,sel_item,Neuhausen-Nymphenburg,Balkon,Bayern,b9cef63a-1738-4996-a037-8ef71d191ed0,,old,Miete,WOHNEN,sonstiges,,Wohnung,2640.0,4.0,standard
505,Liste,kontakt,13.0,316913.0,100.0,München,EUR,sel_item,Bogenhausen,Balkon,Bayern,de850de0-1921-47b2-a7b4-92aca16161e9,,old,Miete,WOHNEN,sonstiges,,Wohnung,2640.0,3.0,standard
